Size,Rim,Unloaded Dimension,Unloaded Dimension,Loaded Static radius inch,Rolling Circumference inch,Load Index PR Symbols,Inflation Pressure psi,Recommended Load,Recommended Load
,,,,,,,,Speed,Speed
,,,,,,,,Recommended Load Capacity (For Grader),Recommended Load Capacity (For Grader)
,,SW inch,OD inch,,,,,25 mph,6 mph
14.00-24,8.00TG,14.2,52.7,23.9,153.9,16PR,47,8050,NA
,,,,,,,80,NA,16090
