Size,Rim,Unloaded Dimension,Unloaded Dimension,Loaded Static radius inch,Rolling Circumference inch,Load Index PR Symbols,Inflation Pressure psi,Recommended Load,Recommended Load,Recommended Load,Recommended Load,Recommended Load,Recommended Load,Recommended Load
,,,,,,,,Speed,Speed,Speed,Speed,Speed,Speed,Speed
,,,,,,,,Not high and sustained torque;Road transport,Not high and sustained torque;Road transport,Not high and sustained torque;Road transport,Not high and sustained torque;Road transport,Not high and sustained torque;Road transport,Not high and sustained torque;Road transport,Not high and sustained torque;Road transport
,,SW inch,OD inch,,,,,6 mph,12 mph,16 mph,19 mph,25 mph,31 mph,40 mph
300/95R52 (12.4R52),W10X52 W9X52,12.2,74.4,34.9,227.6,"156D
159A8",70,13230,10850,10450,10140,9660,9260,8820
