Size,Rim,Unloaded Dimension,Unloaded Dimension,Loaded Static radius mm,Rolling Circumference mm,Load Index PR Symbols,Inflation Pressure bar,Recommended Load,Recommended Load,Recommended Load,Recommended Load
,,,,,,,,Speed,Speed,Speed,Speed
,,,,,,,,Off-the road,Off-the road,Off-the road,Off-the road
,,SW mm,OD mm,,,,,Static kmph,5 kmph,10 kmph,25 kmph
16.00-24 L-3,11.25,432,1493,685,4450,"16PR
181A2",4.25,13200,9320,8250,7010
