Size,Rim,Unloaded Dimension,Unloaded Dimension,Loaded Static radius inch,Rolling Circumference inch,Load Index PR Symbols,Inflation Pressure psi,Recommended Load,Recommended Load,Recommended Load,Recommended Load
,,,,,,,,Speed,Speed,Speed,Speed
,,,,,,,,Off-the road,Off-the road,Off-the road,Off-the road
,,SW inch,OD inch,,,,,Static mph,3 mph,6 mph,16 mph
16.00-24 L-3,11.25,17.0,58.8,27.0,175.2,16PR 181A2,51,25970,18340,16230,13800
,,,,,,,54,27050,19110,16910,14370
,,,,,,,58,28090,19820,17550,14930
,,,,,,,62,29100,20550,18190,15450
,,,,,,"20PR
187A2",65,30580,21610,19110,16250
,,,,,,,69,31570,22290,19730,16780
,,,,,,,73,32520,22970,20330,17280
,,,,,,,80,34390,24300,21500,18280
,,,,,,"24PR
190A2",83,34810,24580,21760,18500
,,,,,,,87,35690,25220,22310,18960
,,,,,,,91,36550,25820,22840,19420
,,,,,,,94,37390,26410,23370,19860
